$Proto-Tangkhulic?, Ukhrul
ʃ a , ʃ a 
k a , k a 
c u ŋ , c u ŋ 
t͡s i k , t͡s i k 
s i k , s i k 
t͡s a , t͡s a 
h r i t , r i t 
s aː r , s a r 
t ɐ k , t ɐ k 
kʰ a , kʰ a 
t͡s ɐ t , t͡s a t 
w a , v a 
kʰ a , kʰ a 
s u n , s u n 
t͡s i , t͡s i 
t͡s a , t͡s a 
s u , s u 
s i k , s i k 
b e t , p e t 
l e k , l e k 
l o j , l u j 
m e t , m e t 
pʰ r e w , pʰ e w 
ʃ o k , ʃ o k 
tʰ u u r , tʰ u r 
r a , r a 
kʰ o p , kʰ o p 
kʰ o t , kʰ o t 
s a , s a 
h r i k , r i k 
r aː l , r a j 
k o ŋ , k o ŋ 
w aː r , v a r 
t͡s aː t , t͡s a t 
h l a , l a 
ʃ a , ʃ a 
n a , n a 
l i ŋ , l i ŋ 
m o t , m o t 
ʃ i , ʃ i 
l a , l a 
pʷ u k , v u k 
w a , v a 
n a , n a 
m i k , m i k 
r i , r i 
l a , l a 
pʰ a a ŋ , pʰ a ŋ 
h w u t , h u t 
r w o k , o k 
ʃ i , ʃ i 
h w a , h a 
c o n , c o n 
p a , p a 
n a , n a 
m o r , m o r 
ʃ o ŋ , ʃ o ŋ 
kʰ u t , kʰ u t 
ʃ ɐ t , ʃ a t 
r a , r a 
r e ŋ , r e ŋ 
d l o k , t o k 
h o l , h u j 
k o r , k o r 
kʰ u u l , kʰ u 
h w o k , h o k 
k ɐ n , k a n 
c a w , c a w 
s a , s a 
ŋ a j , ŋ a j 
c aː ŋ , c a ŋ 
t͡s u , t͡s u 
pʰ i t , pʰ i t 
ʃ i , ʃ i 
r a , r a 
h aː w , h a w 
r u m , r u m 
b aː l , p a j 
k u p , k u p 
d u ŋ , t u ŋ 
bʷ o , w o 
w a w , v a w 
w ɐ t , v a t 
tʰ e ŋ , tʰ e ŋ 
tʰ a a k , tʰ a k 
tʰ a w , tʰ a w 
s e , s i 
ʃ a , ʃ a 
