ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,/se/,/se/,0,0.0,0.0,2,2
1,/lu/,/lu/,0,0.0,0.0,2,2
2,/kɐŋ/,/kɐŋ/,0,0.0,0.0,3,3
3,/huʔ/,/huʔ/,0,0.0,0.0,3,3
4,/o/,/ho/,1,0.5,0.5,1,2
5,/huk/,/huk/,0,0.0,0.0,3,3
6,/t͡sow/,/t͡sow/,0,0.0,0.0,3,3
7,/ju/,/ju/,0,0.0,0.0,2,2
8,/juʔ/,/juʔ/,0,0.0,0.0,3,3
9,/lu/,/lu/,0,0.0,0.0,2,2
10,/ram/,/ram/,0,0.0,0.0,3,3
11,/rul/,/rɐŋ/,2,0.6666666666666666,0.4423076923076923,3,3
12,/we/,/we/,0,0.0,0.0,2,2
13,/ruk/,/ruk/,0,0.0,0.0,3,3
14,/kʰej/,/kʰej/,0,0.0,0.0,3,3
15,/row/,/row/,0,0.0,0.0,3,3
16,/kʰuk/,/kʰu/,1,0.5,0.5384615384615384,3,2
17,/kʰow/,/kow/,1,0.3333333333333333,0.038461538461538464,3,3
18,/roʔ/,/roʔ/,0,0.0,0.0,3,3
19,/rɐŋ/,/rɐŋ/,0,0.0,0.0,3,3
20,/tʰik/,/tik/,1,0.3333333333333333,0.038461538461538464,3,3
21,/kow/,/kow/,0,0.0,0.0,3,3
22,/jip/,/jep/,1,0.3333333333333333,0.038461538461538464,3,3
23,/tʰow/,/tʰow/,0,0.0,0.0,3,3
24,/hɐŋ/,/hɐŋ/,0,0.0,0.0,3,3
25,/t͡sik/,/t͡sik/,0,0.0,0.0,3,3
26,/moʔ/,/moʔ/,0,0.0,0.0,3,3
27,/sep/,/sɐp/,1,0.3333333333333333,0.15384615384615385,3,3
28,/t͡saʔ/,/t͡saʔ/,0,0.0,0.0,3,3
29,/ni/,/ni/,0,0.0,0.0,2,2
30,/naʔ/,/naʔ/,0,0.0,0.0,3,3
31,/ni/,/ni/,0,0.0,0.0,2,2
32,/kʰuʔ/,/kʰɐ/,2,1.0,0.6538461538461539,3,2
33,/mu/,/mu/,0,0.0,0.0,2,2
34,/t͡se/,/t͡se/,0,0.0,0.0,2,2
35,/t͡so/,/t͡so/,0,0.0,0.0,2,2
36,/lu/,/lu/,0,0.0,0.0,2,2
37,/ke/,/ke/,0,0.0,0.0,2,2
38,/ham/,/ham/,0,0.0,0.0,3,3
39,/lu/,/lu/,0,0.0,0.0,2,2
40,/leʔ/,/leʔ/,0,0.0,0.0,3,3
41,/t͡se/,/t͡se/,0,0.0,0.0,2,2
42,/he/,/we/,1,0.5,0.28846153846153844,2,2
43,/kʰe/,/kʰe/,0,0.0,0.0,2,2
44,/so/,/so/,0,0.0,0.0,2,2
45,/tʰoʔ/,/tʰoʔ/,0,0.0,0.0,3,3
46,/raʔ/,/raʔ/,0,0.0,0.0,3,3
47,/nuk/,/nuk/,0,0.0,0.0,3,3
48,/t͡sɐm/,/t͡sɐm/,0,0.0,0.0,3,3
49,/kʰɐm/,/kʰɐm/,0,0.0,0.0,3,3
50,/wuʔ/,/wuʔ/,0,0.0,0.0,3,3
51,/le/,/le/,0,0.0,0.0,2,2
52,/mu/,/mu/,0,0.0,0.0,2,2
