etID  | Input | Proto-Kachai-Ukhrul | Proto-Kachai I | Proto-Kachai II  | Output {GOLD}
0      | #t͡sa# | #t͡sa# | #t͡sa# | #ða# | #ða# {GOLD: #ðu#}
1      | #loj# | #loj# | #loj# | #loj# | #loj# {GOLD: #li#}
2      | #se# | #se# | #se# | #se# | #se# {GOLD: #si#}
3      | #kol# | #kol# | #kol# | #kol# | #kol# {GOLD: #kwe#}
4      | #hwok# | #hok# | #hok# | #hok# | #hok# {GOLD: #fak#}
5      | #ar# | #har# | #har# | #har# | #har# {GOLD: #har#}
6      | #hwɨ# | #hwɨ# | #hwɨ# | #hwɨ# | #hwɨ# {GOLD: #hwi#}
7      | #caw# | #caw# | #caw# | #caw# | #caw# {GOLD: #co#}
8      | #rwok# | #rok# | #rok# | #rok# | #rok# {GOLD: #rɐk#}
9      | #lej# | #lej# | #lej# | #lej# | #lej# {GOLD: #li#}
10     | #pu# | #pu# | #pu# | #pu# | #pu# {GOLD: #fu#}
11     | #wa# | #wa# | #wa# | #wa# | #wa# {GOLD: #wu#}
12     | #kʰaj# | #kʰaj# | #kʰaj# | #kʰaj# | #kʰaj# {GOLD: #kʰwe#}
13     | #rew# | #rew# | #rew# | #rew# | #rew# {GOLD: #ri#}
14     | #kʰu# | #kʰu# | #kʰu# | #kʰu# | #kʰu# {GOLD: #kʰɐ#}
15     | #kʰoj# | #kʰoj# | #kʰoj# | #kʰoj# | #kʰoj# {GOLD: #kʰi#}
16     | #hrik# | #rik# | #rik# | #rik# | #rik# {GOLD: #rɐk#}
17     | #ran# | #ran# | #ran# | #ran# | #ran# {GOLD: #ron#}
18     | #hriŋ# | #riŋ# | #riŋ# | #riŋ# | #riŋ# {GOLD: #rɐŋ#}
19     | #tʰi# | #tʰi# | #tʰi# | #t͡si# | #t͡si# {GOLD: #sɐ#}
20     | #ŋun# | #ŋun# | #ŋun# | #ŋun# | #ŋun# {GOLD: #ŋun#}
21     | #jip# | #jip# | #jip# | #jip# | #jip# {GOLD: #jip#}
22     | #tʰow# | #tʰow# | #tʰow# | #tʰow# | #tʰow# {GOLD: #tʰe#}
23     | #kow# | #kow# | #kow# | #kow# | #kow# {GOLD: #ke#}
24     | #t͡si# | #t͡si# | #t͡si# | #t͡si# | #t͡si# {GOLD: #t͡sɐ#}
25     | #maj# | #maj# | #maj# | #maj# | #maj# {GOLD: #mwe#}
26     | #mik# | #mik# | #mik# | #mik# | #mik# {GOLD: #mɐk#}
27     | #t͡sap# | #t͡sap# | #t͡sap# | #ðap# | #ðap# {GOLD: #cap#}
28     | #pew# | #pew# | #pew# | #pew# | #pew# {GOLD: #pi#}
29     | #na# | #na# | #na# | #na# | #na# {GOLD: #nɐ#}
30     | #nap# | #nap# | #nap# | #nap# | #nap# {GOLD: #nap#}
31     | #na# | #na# | #na# | #na# | #na# {GOLD: #nɐ#}
32     | #na# | #na# | #na# | #na# | #na# {GOLD: #nɐ#}
