INPUT,/ar/,/am/,/ma/,/ma/,/maak/,/maj/,/maŋ/,/maŋ/,/maaŋ/,/met/,/mej/,/mej/,/mej/,/mej/,/mi/,/mi/,/mi/,/mit/,/min/,/mik/,/miŋ/,/mor/,/mow/,/mow/,/mow/,/mot/,/muk/,/wa/,/wa/,/waar/,/waw/,/wɐt/,/wok/,/wu/,/baal/,/baaŋ/,/baj/,/bet/,/bʷa/,/bʷeŋ/,/bʷo/,/bʷon/,/bʷu/,/pa/,/pam/,/paj/,/pi/,/pew/,/poj/,/pu/,/plaj/,/praj/,/prim/,/pʰa/,/pʰaar/,/pʰaaŋ/,/pʰan/,/pʰe/,/pʰen/,/pʰej/,/pʰit/,/pʰuŋ/,/pʰuŋ/,/pʰra/,/pʰrew/,/pʷak/,/pʷɨ/,/pʷuk/,/la/,/la/,/la/,/la/,/laaŋ/,/lat/,/laj/,/lɐŋ/,/lɐp/,/lej/,/lej/,/lej/,/lej/,/lek/,/li/,/liŋ/,/liŋ/,/lo/,/lo/,/loj/,/low/,/lum/,/luŋ/,/luŋ/,/ra/,/ra/,/ra/,/ra/,/raap/,/raal/,/ram/,/ram/,/raj/,/rew/,/rew/,/rej/,/reŋ/,/reŋ/,/ri/,/ri/,/ri/,/ril/,/rik/,/row/,/rok/,/ru/,/ruul/,/rum/,/ruŋ/,/ruk/,/rwok/,/na/,/na/,/na/,/na/,/naw/,/nam/,/nam/,/nap/,/nap/,/naj/,/naj/,/naj/,/naŋ/,/nak/,/nem/,/ni/,/ni/,/ni/,/nim/,/nir/,/niŋ/,/niŋ/,/niŋ/,/nɨ/,/now/,/nu/,/nuk/,/da/,/dar/,/dak/,/deŋ/,/dik/,/dɨ/,/dɨ/,/dom/,/du/,/du/,/duŋ/,/duŋ/,/dlek/,/dlok/,/ta/,/tat/,/taŋ/,/tɐk/,/tew/,/tep/,/tek/,/tow/,/tla/,/tli/,/tlow/,/tʰa/,/tʰa/,/tʰaak/,/tʰaaw/,/tʰaw/,/tʰar/,/tʰat/,/tʰaj/,/tʰak/,/tʰɐr/,/tʰej/,/tʰej/,/tʰeŋ/,/tʰi/,/tʰi/,/tʰin/,/tʰiŋ/,/tʰik/,/tʰɨ/,/tʰow/,/tʰuur/,/tʰum/,/tʰum/,/tʰuk/,/sa/,/sa/,/saam/,/saar/,/saaŋ/,/sam/,/sak/,/sak/,/se/,/si/,/si/,/sik/,/sik/,/soj/,/su/,/su/,/sun/,/sun/,/sum/,/t͡sa/,/t͡sa/,/t͡saan/,/t͡saat/,/t͡saat/,/t͡saaŋ/,/t͡sap/,/t͡sar/,/t͡saŋ/,/t͡sɐt/,/t͡sɐt/,/t͡sej/,/t͡ser/,/t͡si/,/t͡si/,/t͡si/,/t͡si/,/t͡sim/,/t͡sik/,/t͡siŋ/,/t͡su/,/ʃa/,/ʃa/,/ʃa/,/ʃap/,/ʃat/,/ʃaj/,/ʃaŋ/,/ʃaŋ/,/ʃɐt/,/ʃɐŋ/,/ʃi/,/ʃi/,/ʃi/,/ʃim/,/ʃim/,/ʃo/,/ʃon/,/ʃoj/,/ʃok/,/ʃoŋ/,/ʃu/,/ʃuur/,/ʃup/,/ʃut/,/ʃuk/,/ʃuŋ/,/ʃuŋ/,/ʃuŋ/,/ja/,/ja/,/ja/,/ja/,/jaam/,/jap/,/jaŋ/,/jak/,/jon/,/joj/,/joŋ/,/jwor/,/ju/,/ju/,/juŋ/,/ca/,/caaŋ/,/caaŋ/,/caw/,/car/,/caj/,/ci/,/ciaŋ/,/cik/,/cow/,/cow/,/cow/,/con/,/con/,/cuŋ/,/ŋa/,/ŋar/,/ŋaj/,/ŋom/,/ŋum/,/ŋun/,/ka/,/ka/,/kaap/,/kaw/,/kaw/,/kal/,/kaj/,/kaŋ/,/kak/,/kɐn/,/kej/,/ko/,/kow/,/kow/,/kow/,/kol/,/koŋ/,/kʰa/,/kʰaaŋ/,/kʰaw/,/kʰaj/,/kʰaj/,/kʰaj/,/kʰak/,/kʰɐm/,/kʰej/,/kʰow/,/kʰop/,/kʰot/,/kʰoj/,/kʰoŋ/,/kʰoŋ/,/kʰok/,/kʰok/,/kʰu/,/kʰu/,/kʰuul/,/kʰum/,/kʰur/,/kʰut/,/kʰuk/,/ha/,/haaw/,/haaŋ/,/haw/,/hal/,/han/,/han/,/haj/,/hak/,/hɐŋ/,/ho/,/hol/,/hoj/,/hur/,/hla/,/hla/,/hlip/,/hri/,/hrit/,/hriŋ/,/hrik/,/hroj/,/hwa/,/hwa/,/hwa/,/hwɨ/,/hwor/,/hwok/,/hwut/,/ʔa/,/ʔi/
R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/la/,/la/,/lip/,/ri/,/rit/,/riŋ/,/rik/,/roj/,,,,,,,,,
R1,/har/,/ham/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/wak/,/wɨ/,/wuk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/va/,/veŋ/,/vo/,/von/,/vu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ða/,/ðar/,/ðak/,/ðeŋ/,/ðik/,/ðɨ/,/ðɨ/,/ðom/,/ðu/,/ðu/,/ðuŋ/,/ðuŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/paal/,/paaŋ/,/paj/,/pet/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tlek/,/tlok/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/paj/,/paj/,/pim/,,,,,,,,,,,/pʰa/,/pʰew/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tek/,/tok/,,,,,,,,,/ta/,/ti/,/tow/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7,,,,,/maːk/,,,,/maːŋ/,,,,,,,,,,,,,,,,,,,,,/waːr/,,,,,/paːl/,/paːŋ/,,,,,,,,,,,,,,,,,,,/pʰaːr/,/pʰaːŋ/,,,,,,,,,,,,,,,,,/laːŋ/,,,,,,,,,,,,,,,,,,,,,,,,/raːp/,/raːl/,,,,,,,,,,,,,,,,,/ruːl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tʰaːk/,/tʰaːw/,,,,,,,,,,,,,,,,,/tʰuːr/,,,,,,/saːm/,/saːr/,/saːŋ/,,,,,,,,,,,,,,,,,/t͡saːn/,/t͡saːt/,/t͡saːt/,/t͡saːŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ʃuːr/,,,,,,,,,,,/jaːm/,,,,,,,,,,,,/caːŋ/,/caːŋ/,,,,,,,,,,,,,,,,,,,,,/kaːp/,,,,,,,,,,,,,,,,/kʰaːŋ/,,,,,,,,,,,,,,,,,,/kʰuːl/,,,,,,/haːw/,/haːŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rok/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jor/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ha/,/ha/,/ha/,,/hor/,/hok/,,,
